iter	Logloss
0	0.678701633
1	0.6653789051
2	0.6523125174
3	0.6431980433
4	0.6330091557
5	0.6247229466
6	0.6169893022
7	0.6098514343
8	0.6035120001
9	0.5972969191
10	0.592410286
11	0.586736794
12	0.5814721331
13	0.5767197067
14	0.5722891352
15	0.5681578015
16	0.5647760772
17	0.5609669786
18	0.5577005416
19	0.5542071021
20	0.5507439763
21	0.5477600742
22	0.5444394706
23	0.5415619637
24	0.539061772
25	0.5367523217
26	0.5341561395
27	0.5315946376
28	0.5293222141
29	0.5270706982
30	0.5249287094
31	0.522814572
32	0.5207481139
33	0.5187018628
34	0.5167875771
35	0.5150618716
36	0.5133872312
37	0.5113040626
38	0.5091696074
39	0.5078553755
40	0.5062125735
41	0.5046381244
42	0.5027951619
43	0.5010128958
44	0.4993238336
45	0.4979117617
46	0.4964135172
47	0.4948896256
48	0.4936172663
49	0.4921220202
50	0.4906506744
51	0.4892411224
52	0.4877506887
53	0.4865285236
54	0.485142851
55	0.4839297425
56	0.4825190351
57	0.4815776856
58	0.4804036616
59	0.479100581
60	0.4778429906
61	0.476654475
62	0.4753922954
63	0.4741248475
64	0.4729611837
65	0.4719878517
66	0.4710474134
67	0.4700273852
68	0.4690400852
69	0.4681645764
70	0.4673105224
71	0.4663552612
72	0.4653505827
73	0.4643459406
74	0.4632156488
75	0.4624135036
76	0.4615431763
77	0.4606023394
78	0.4598733047
79	0.4589641885
80	0.4578595241
81	0.4569462505
82	0.4562092638
83	0.4556011856
84	0.4548815683
85	0.4540661176
86	0.453228305
87	0.4524594906
88	0.4517395581
89	0.4510602988
90	0.4503228421
91	0.4494275556
92	0.448602104
93	0.4479144658
94	0.4471926489
95	0.4464054394
96	0.445651278
97	0.4448562367
98	0.4441119692
99	0.4434115228
