iter	Passed	Remaining
0	560	55514
1	824	40389
2	1098	35520
3	1367	32817
4	1633	31032
5	1905	29860
6	2188	29075
7	2483	28555
8	2759	27906
9	3039	27351
10	3326	26917
11	3591	26336
12	3856	25807
13	4117	25294
14	4378	24813
15	4639	24355
16	4900	23925
17	5161	23514
18	5422	23118
19	5684	22739
20	5949	22381
21	6208	22012
22	6468	21656
23	6731	21316
24	6991	20975
25	7254	20647
26	7512	20310
27	7765	19969
28	8024	19646
29	8285	19332
30	8547	19025
31	8808	18717
32	9073	18422
33	9336	18123
34	9597	17823
35	9857	17525
36	10135	17258
37	10394	16959
38	10661	16675
39	10917	16376
40	11172	16077
41	11419	15769
42	11663	15461
43	11915	15164
44	12162	14865
45	12412	14571
46	12664	14280
47	12915	13992
48	13168	13705
49	13433	13433
50	13680	13144
51	13933	12861
52	14184	12578
53	14430	12292
54	14683	12013
55	14929	11730
56	15177	11449
57	15423	11169
58	15680	10896
59	15928	10618
60	16176	10342
61	16431	10071
62	16697	9806
63	16945	9531
64	17196	9259
65	17448	8988
66	17703	8719
67	17952	8448
68	18202	8177
69	18459	7911
70	18706	7640
71	18952	7370
72	19197	7100
73	19442	6831
74	19698	6566
75	19946	6299
76	20201	6034
77	20450	5768
78	20718	5507
79	20973	5243
80	21221	4977
81	21474	4713
82	21725	4449
83	21971	4185
84	22235	3923
85	22483	3660
86	22741	3398
87	22991	3135
88	23263	2875
89	23510	2612
90	23772	2351
91	24023	2088
92	24270	1826
93	24519	1565
94	24770	1303
95	25022	1042
96	25271	781
97	25519	520
98	25767	260
99	26018	0
